id,userId,alertId,summary,status,assignedTo,notes,createdAt
case_001,usr_001,alert_001,High-risk transaction detected: $1500.00 from Electronics Global Store,open,Sarah Chen,Initial review in progress,2024-06-15T10:30:00Z
case_002,usr_003,alert_002,Large suspicious transaction: $15420.00 from Unknown Merchant,assigned,John Smith,Location mismatch detected,2024-07-20T14:15:00Z
case_003,usr_004,alert_003,Unusual pattern detected: $8320.00 from Suspicious Merchant,open,Unassigned,Requires further investigation,2024-08-05T09:45:00Z
case_004,usr_005,alert_004,High value transaction: $22100.00 from Foreign Entity,assigned,Maria Garcia,Cross-border transaction review,2024-09-12T16:20:00Z
case_005,usr_001,alert_005,Suspicious transaction: $1250.00 from Unknown Merchant,resolved,Sarah Chen,False positive - cleared,2024-10-01T11:30:00Z
case_006,usr_002,alert_006,Multiple rapid transactions detected,open,Unassigned,Monitoring transaction velocity,2024-10-15T08:00:00Z
case_007,usr_006,alert_007,Unusual spending pattern detected,assigned,John Smith,Requires user verification,2024-10-20T13:45:00Z
case_008,usr_007,alert_008,High-risk transaction from restricted merchant,open,Unassigned,Merchant blacklist check,2024-10-25T10:15:00Z
case_009,usr_008,alert_009,Location anomaly detected,assigned,Maria Garcia,Geographic risk assessment,2024-11-01T15:30:00Z
case_010,usr_009,alert_010,Transaction amount spike detected,open,Unassigned,Pattern analysis required,2024-11-05T09:00:00Z
case_011,usr_010,alert_011,Multiple failed verification attempts,assigned,John Smith,KYC compliance review,2024-11-10T12:20:00Z
case_012,usr_001,alert_012,Repeated high-risk transactions,open,Unassigned,Behavioral analysis,2024-11-12T14:50:00Z
case_013,usr_003,alert_013,International transaction from high-risk country,assigned,Sarah Chen,Sanctions screening,2024-11-15T10:30:00Z
case_014,usr_004,alert_014,Transaction velocity anomaly,open,Unassigned,Rate limit exceeded,2024-11-18T16:00:00Z
case_015,usr_005,alert_015,Large cash transaction pattern,assigned,Maria Garcia,Cash transaction reporting,2024-11-20T11:45:00Z
case_016,usr_006,alert_016,Unusual merchant category,open,Unassigned,Merchant verification required,2024-11-22T09:30:00Z
case_017,usr_007,alert_017,Multiple account linkage,assigned,John Smith,Account relationship analysis,2024-11-25T13:15:00Z
case_018,usr_008,alert_018,Transaction time anomaly,open,Unassigned,Off-hours transaction review,2024-11-28T08:20:00Z
case_019,usr_009,alert_019,Amount deviation from pattern,assigned,Sarah Chen,Statistical analysis,2024-12-01T15:00:00Z
case_020,usr_010,alert_020,Device fingerprint mismatch,open,Unassigned,Security review,2024-12-03T10:30:00Z
case_021,usr_013,alert_021,Large crypto purchase: $18500.00 from Cryptocurrency Exchange,assigned,Sarah Chen,Crypto transaction monitoring,2024-12-05T09:15:00Z
case_022,usr_016,alert_022,Suspicious transfer: $12500.00 to offshore account,open,Unassigned,Offshore account review,2024-12-07T14:20:00Z
case_023,usr_019,alert_023,High-risk international transaction: $7650.00 to Iran,assigned,John Smith,Sanctions violation check,2024-12-08T11:00:00Z
case_024,usr_023,alert_024,High-risk transaction: $9200.00 from North Korea,open,Unassigned,Critical sanctions screening,2024-12-10T16:45:00Z
case_025,usr_026,alert_025,Suspicious large transfer: $18200.00 to Cayman Islands,assigned,Maria Garcia,Offshore account investigation,2024-12-12T10:30:00Z
case_026,usr_029,alert_026,Large suspicious payment: $14800.00 to Russia,open,Unassigned,International transaction review,2024-12-14T13:15:00Z
case_027,usr_011,alert_027,Multiple rapid transactions detected,assigned,John Smith,Transaction velocity analysis,2024-12-15T08:30:00Z
case_028,usr_014,alert_028,Unusual spending pattern detected,open,Unassigned,Behavioral analysis required,2024-12-16T15:00:00Z
case_029,usr_017,alert_029,Transaction amount spike detected,assigned,Sarah Chen,Statistical deviation analysis,2024-12-17T11:20:00Z
case_030,usr_020,alert_030,Multiple high-value transactions,open,Unassigned,Pattern recognition,2024-12-18T09:45:00Z
case_031,usr_021,alert_031,Unusual merchant category pattern,assigned,Maria Garcia,Merchant analysis,2024-12-19T14:00:00Z
case_032,usr_024,alert_032,Transaction time anomaly detected,open,Unassigned,Off-hours activity review,2024-12-20T10:15:00Z
case_033,usr_027,alert_033,Geographic location mismatch,assigned,John Smith,Location verification,2024-12-21T13:30:00Z
case_034,usr_030,alert_034,High-value travel transaction pattern,open,Unassigned,Travel transaction review,2024-12-22T11:00:00Z
case_035,usr_012,alert_035,Multiple account activity spike,assigned,Sarah Chen,Account relationship mapping,2024-12-23T09:20:00Z
case_036,usr_015,alert_036,Unusual transaction frequency,open,Unassigned,Velocity monitoring,2024-12-24T15:45:00Z
case_037,usr_018,alert_037,Transaction amount deviation,assigned,Maria Garcia,Statistical analysis,2024-12-25T10:30:00Z
case_038,usr_022,alert_038,Merchant blacklist match,open,Unassigned,Merchant verification,2024-12-26T14:15:00Z
case_039,usr_025,alert_039,Device location anomaly,assigned,John Smith,Security review,2024-12-27T11:30:00Z
